,taz,TAZ_X,TAZ_Y
196,182,-122.5052171,37.75203865
1049,100289,-122.2223028,37.48350263
267,246,-122.4793056,37.7865795
505,443,-122.4493015,37.79060445
3479,300949,-122.275037,37.85007194
665,588,-122.3989662,37.79299235
733,647,-122.4466017,37.76350978
2472,300024,-122.2638631,37.80310943
200,186,-122.4211115,37.72637812
301,276,-122.4673066,37.76307136
219,204,-122.5054082,37.75390245
274,253,-122.4698202,37.77461854
3297,300774,-122.2694568,37.85871979
304,277,-122.4674709,37.76494895
3653,301115,-122.0845798,37.6076886
21,18,-122.4186173,37.75689483
2462,300017,-122.1694917,37.75036558
3259,300739,-122.2570252,37.82221825
296,273,-122.473788,37.76279592
214,200,-122.4428226,37.71610386
522,461,-122.4426196,37.79054444
276,255,-122.4654909,37.77530667
2448,300005,-122.256666,37.87727043
2713,300229,-122.2896675,37.77822865
2980,300476,-122.2618113,37.8637999
218,203,-122.505586,37.75576413
3561,301031,-122.2221552,37.78794505
157,145,-122.489528,37.75647034
266,245,-122.485546,37.78385998
81,75,-122.4948451,37.77614036
151,140,-122.4899192,37.76206471
275,254,-122.4688265,37.7770116
802,100057,-122.4094661,37.66067751
107,102,-122.4626032,37.74144059
284,263,-122.4855977,37.7771851
156,144,-122.4896592,37.75833257
524,463,-122.4374871,37.79027012
375,333,-122.4854623,37.77532049
153,141,-122.4900527,37.76395538
289,268,-122.5074883,37.77524931
616,546,-122.4966445,37.77387372
287,266,-122.499992,37.77559222
281,260,-122.4805779,37.7746071
285,264,-122.4853272,37.77345423
613,543,-122.4917543,37.77316082
154,142,-122.4897893,37.76019949
3,3,-122.4243694,37.76776918
231,216,-122.4620246,37.78242841
373,331,-122.4672013,37.76120779
472,414,-122.4508522,37.76728097
538,475,-122.4521207,37.78535284
606,536,-122.5057621,37.75762674
641,565,-122.4159603,37.77531671
1547,200271,-122.0346956,37.36169709
257,238,-122.4739229,37.76467106
1375,200128,-121.8780266,37.33378078
241,226,-122.4491089,37.71192235
3518,300989,-122.2343274,37.80249188
537,474,-122.4466803,37.78628355
523,462,-122.4422707,37.78876151
480,420,-122.4444646,37.75965802
326,293,-122.4222503,37.77828523
3373,300847,-122.2756217,37.87939556
491,429,-122.4436467,37.79605083
3132,300624,-122.2326243,37.79345841
2551,300098,-122.2480328,37.79799373
2800,300316,-122.0736228,37.63389544
4186,400444,-122.0438002,37.96903134
282,261,-122.5002669,37.77938026
299,275,-122.4736385,37.76093469
1154,100390,-122.1429825,37.45973728
1274,200041,-121.9999617,37.36062505
59,55,-122.4356472,37.74952974
242,227,-122.4525499,37.71065263
195,181,-122.5059572,37.75949011
272,251,-122.4701432,37.77937578
520,459,-122.4693824,37.72064892
1597,200309,-121.8812321,37.33225922
270,249,-122.4625405,37.7792337
3274,300753,-122.2785866,37.77351466
273,252,-122.4657519,37.77909091
283,262,-122.4808532,37.77840376
591,521,-122.4394814,37.77477781
150,139,-122.4946824,37.76234002
3453,300927,-122.263064,37.86669345
590,520,-122.4311984,37.77583557
678,602,-122.4045041,37.77241892
186,173,-122.5061405,37.76135069
2886,300395,-122.2709146,37.87315705
215,201,-122.4463793,37.7185299
3316,300792,-122.2253856,37.79074207
586,516,-122.425374,37.78040249
515,454,-122.4564942,37.72291302
585,515,-122.4303058,37.77977359
617,547,-122.4962323,37.77832253
3064,300561,-122.2455204,37.8004656
1481,200220,-121.9127803,37.41856145
230,215,-122.505692,37.74087442
534,471,-122.4409455,37.78631167
2739,300254,-122.1713074,37.76468344
3379,300853,-122.1787923,37.75749191
3027,300522,-122.2472272,37.76213739
4179,400437,-122.3557406,37.93360087
578,509,-122.4440278,37.77743162
226,211,-122.4963114,37.73522899
192,178,-122.498808,37.75418584
201,187,-122.417676,37.72762152
384,342,-122.4219974,37.80096498
2243,200914,-121.8879589,37.34037463
220,205,-122.4857354,37.77911413
189,175,-122.4993333,37.76164914
518,457,-122.45563,37.71913118
191,177,-122.4990701,37.75791828
190,176,-122.4992014,37.75978476
193,179,-122.4989443,37.75604957
188,174,-122.49946,37.76354346
362,323,-122.4210151,37.70973142
2740,300255,-122.1732307,37.74502321
482,422,-122.4414771,37.760684
1871,200559,-122.0912525,37.40945233
127,119,-122.4166502,37.74146013
2052,200733,-121.7758119,37.22474175
3486,300956,-122.2473696,37.81652627
386,343,-122.4235676,37.80440938
3840,400142,-122.0391021,37.96947384
2708,300225,-122.2130114,37.78050796
163,151,-122.4107948,37.73693921
2245,200916,-121.8916493,37.34284353
185,172,-122.5063315,37.76324048
2629,300165,-122.2154466,37.79412905
2707,300224,-122.2116911,37.77924095
3344,300820,-122.2115616,37.77263348
512,451,-122.4036289,37.72599288
1174,100413,-122.4634966,37.69126469
393,349,-122.4163737,37.80314949
134,126,-122.4148225,37.74743558
3122,300614,-122.2899483,37.89232813
155,143,-122.4940977,37.75784013
225,210,-122.5001526,37.73855161
278,257,-122.4756051,37.77763927
92,87,-122.4102027,37.75901432
280,259,-122.4753397,37.77391088
279,258,-122.475472,37.77577646
2579,300121,-122.2545765,37.85492547
3125,300617,-122.2515032,37.82136099
343,307,-122.4052626,37.75659647
2463,300018,-122.2653325,37.84033919
644,567,-122.4060986,37.76689833
2518,300067,-122.2538188,37.76934352
5432,800147,-122.5730187,37.97858427
2197,200868,-121.8783624,37.34834503
2993,300485,-122.2401072,37.80101803
2621,300157,-122.2360207,37.78739747
1822,200514,-122.0925963,37.40651631
1590,200303,-121.8686123,37.27994742
1390,200141,-121.7939753,37.35147268
395,351,-122.4057279,37.80271242
1828,200520,-121.8523447,37.3610025
3622,301088,-122.2507879,37.84860407
2620,300156,-122.2376227,37.78576442
227,212,-122.5036487,37.73678014
145,136,-122.4597016,37.71714027
526,465,-122.4323172,37.7901751
2517,300066,-122.2280222,37.78002695
3070,300566,-122.2646744,37.77202679
347,311,-122.3939249,37.73130556
3120,300612,-122.2749071,37.84790969
2987,300480,-122.2806797,37.82269852
3218,300702,-122.2848239,37.87824382
342,306,-122.3958599,37.76383878
3536,301008,-122.2288344,37.78695324
288,267,-122.5074646,37.77911492
819,100076,-122.4068074,37.65986913
349,313,-122.4183185,37.73737082
3594,301059,-122.2680723,37.80459297
502,440,-122.4323692,37.79416211
645,568,-122.4056122,37.78334959
2546,300093,-122.2670563,37.84651945
608,538,-122.4815549,37.78177348
2624,300160,-122.2078694,37.79119412
265,244,-122.4874766,37.78097058
544,481,-122.4572711,37.77896852
126,118,-122.4130007,37.74077979
654,575,-122.4005731,37.75592318
563,494,-122.4804097,37.75687324
604,534,-122.4768597,37.71905315
286,265,-122.5019299,37.77269542
87,82,-122.4275017,37.73879995
558,490,-122.4808034,37.76246585
1436,200179,-121.8605332,37.36044946
3069,300565,-122.2723821,37.77137266
96,91,-122.4143822,37.75569905
562,493,-122.480542,37.75873358
94,89,-122.4146891,37.758897
557,489,-122.4809405,37.76435895
3127,300619,-122.2457459,37.8117793
3439,300915,-122.1136583,37.69885198
3138,300630,-122.298443,37.89283097
171,159,-122.4411295,37.72466906
945,100194,-122.4645953,37.70325316
392,347,-122.415031,37.80018448
559,491,-122.480649,37.76060045
707,627,-122.3912597,37.72523191
2725,300241,-122.2737477,37.84281635
19,16,-122.4234758,37.75836808
2712,300228,-122.1782822,37.7503867
20,17,-122.4237834,37.76156862
202,188,-122.40088,37.72047699
17,14,-122.4327907,37.76102261
3593,301058,-122.2763067,37.8033459
58,54,-122.4386037,37.75181605
63,59,-122.4317151,37.74983348
1737,200435,-121.9833825,37.36739292
277,256,-122.4757448,37.77956863
924,100173,-122.4519825,37.70497577
627,557,-122.4341871,37.76617553
74,69,-122.4327982,37.73492486
3838,400140,-122.0446004,37.95856287
647,570,-122.4240946,37.76478791
2720,300236,-122.1728465,37.756783
88,83,-122.4269937,37.74102742
3293,300770,-122.2346885,37.79483429
3165,300656,-122.2192368,37.79489763
4088,400352,-122.3563467,37.95626965
62,58,-122.4282081,37.74864209
290,269,-122.5037771,37.77908051
1029,100272,-122.469361,37.65981096
2469,300022,-122.269251,37.82915407
3532,301004,-122.2274597,37.79630341
3211,300695,-122.2698581,37.87920355
3435,300911,-122.2885035,37.89534715
128,120,-122.3982269,37.72113683
2899,300407,-122.0472375,37.56287366
251,234,-122.4337263,37.71014132
1439,200182,-121.857758,37.36260776
2716,300232,-122.299469,37.80805418
104,99,-122.4046934,37.75208491
2734,300250,-122.1960646,37.76538481
2756,300270,-122.0973244,37.62856893
4837,700002,-122.7301594,38.42485958
243,228,-122.4568664,37.70948181
54,50,-122.4276735,37.75489808
3238,300720,-122.2700695,37.88101079
254,236,-122.4054493,37.71611377
3560,301030,-122.2248611,37.78830784
3294,300771,-122.251413,37.81391752
549,485,-122.4642682,37.71981806
2640,300173,-122.2578313,37.82972236
3234,300716,-122.2711305,37.83400013
233,218,-122.4612739,37.78745893
165,153,-122.4220958,37.73888006
41,38,-122.3913349,37.78605919
662,585,-122.4385338,37.8052175
3505,300976,-122.2613432,37.77284337
901,100151,-122.2594649,37.55339051
170,158,-122.4330155,37.73069501
159,147,-122.4203137,37.74573829
4308,400545,-122.304559,37.90014585
2623,300159,-122.2186819,37.78865527
2476,300028,-122.271687,37.80142031
329,295,-122.3986326,37.71269245
425,374,-122.4269193,37.79134303
1391,200142,-121.8486216,37.35041067
3267,300747,-122.2498623,37.82565852
690,610,-122.3909476,37.76549204
198,184,-122.4263795,37.72932408
3503,300974,-122.1705009,37.75361103
124,116,-122.38879,37.73139823
3506,300977,-122.2569024,37.77185636
2705,300222,-122.2121658,37.7845865
1152,100389,-122.1334538,37.45486421
5153,700287,-122.4844409,38.31446856
2837,300352,-122.2730584,37.77608358
2667,300196,-122.1886474,37.76140812
2665,300194,-122.1978975,37.77128737
1378,200132,-121.8005618,37.35037634
1598,200310,-121.8788851,37.32911447
93,88,-122.3953752,37.76136989
238,223,-122.4655832,37.78461103
2898,300406,-122.0486755,37.56553618
680,603,-122.4119661,37.76713095
2860,300372,-122.1002215,37.68118155
2976,300472,-122.2741747,37.77372365
1820,200512,-122.0947511,37.40396573
1285,200049,-121.8447444,37.33318532
3059,300557,-121.9760703,37.53987693
1687,200386,-121.9641618,37.3393686
2549,300096,-122.2506998,37.80258393
3338,300813,-122.2076849,37.77109275
2502,300052,-122.2761635,37.86013802
2533,300079,-122.1653409,37.73257182
2839,300354,-122.1780247,37.7634083
3411,300887,-122.2465026,37.80287168
2830,300346,-122.1116164,37.69782747
686,606,-122.3985865,37.77226978
1444,200187,-121.8433659,37.34254068
2600,300138,-122.1604279,37.74303595
673,599,-122.4084986,37.77628273
3570,301040,-122.2179757,37.77723848
271,250,-122.4597222,37.77772463
428,377,-122.4395004,37.78155374
625,556,-122.430891,37.76794539
511,450,-122.4112717,37.729436
3176,300665,-122.298394,37.89699355
3567,301037,-122.2070924,37.78767469
5500,800207,-122.5188316,37.93711527
3228,300711,-122.2007395,37.79955805
513,452,-122.4080454,37.72647237
2504,300054,-122.2856323,37.86255278
338,303,-122.4565929,37.74542838
2506,300056,-122.2805459,37.84909206
2722,300238,-122.2207426,37.7810475
239,224,-122.4907785,37.78221528
3215,300699,-122.2608171,37.87866686
1220,100461,-122.413502,37.62051542
949,100196,-122.468945,37.70335215
2931,300433,-122.1532464,37.7409878
138,129,-122.4369994,37.73251444
2445,300002,-122.2764581,37.86191083
2715,300231,-122.2971077,37.81088444
3597,301062,-122.2767161,37.88262497
2788,300304,-122.1729549,37.7503441
957,100202,-122.4459928,37.70710805
3641,301105,-122.0707218,37.68722542
609,539,-122.4808734,37.78429995
3565,301035,-122.2040373,37.78485279
618,548,-122.5037414,37.77542132
221,206,-122.5005956,37.74569264
569,500,-122.4834703,37.75440109
2709,300226,-122.2103302,37.77770949
583,513,-122.4224915,37.78233914
210,196,-122.4340187,37.71693237
551,486,-122.464957,37.71628726
619,549,-122.4027375,37.79561313
3230,300713,-122.2865627,37.86605797
169,157,-122.4294753,37.73272883
341,305,-122.454756,37.74252751
211,197,-122.4281805,37.72738517
3004,300498,-122.079176,37.58956515
3398,300873,-122.2776493,37.87182005
676,601,-122.4028643,37.77454468
42,39,-122.3939562,37.78158123
1091,100332,-122.409696,37.61185955
258,239,-122.4089273,37.7140443
503,441,-122.4550383,37.78910631
3278,300756,-122.2852163,37.87131333
322,291,-122.4489019,37.76007536
1175,100416,-122.4913319,37.63063162
3213,300697,-122.2781388,37.87632351
1870,200558,-122.0904994,37.40484331
2764,300279,-122.1679029,37.724226
1433,200174,-121.8463337,37.3220064
2831,300347,-122.1097418,37.69659572
2573,300116,-122.2802306,37.82521294
1077,100317,-122.2049009,37.47795877
3231,300714,-122.2860047,37.86434248
605,535,-122.4832347,37.72070804
2570,300114,-122.2471677,37.85076285
3121,300613,-122.2956099,37.89321867
3275,300754,-122.1845752,37.76319082
3166,300657,-122.2300626,37.79209428
245,229,-122.4637091,37.70922097
2520,300069,-122.1790656,37.7749902
2885,300394,-122.2712759,37.87629093
3029,300525,-122.2857115,37.7748777
2241,200912,-121.8842321,37.34116125
147,138,-122.4590667,37.7119404
3212,300696,-122.2798846,37.87849907
982,100230,-122.4859289,37.68778292
3467,300939,-122.2471899,37.80756669
695,615,-122.3971257,37.75067709
702,622,-122.385439,37.73238463
2601,300139,-122.1560801,37.74372821
2693,300213,-122.1347024,37.71054057
638,562,-122.4202426,37.77189651
194,180,-122.4992144,37.75185781
3842,400144,-122.0564208,37.9284172
2869,300380,-122.2483911,37.81960021
132,124,-122.4078519,37.74678556
3394,300867,-122.1886054,37.76987941
5279,800020,-122.5442503,37.90483387
705,625,-122.395183,37.72647824
320,290,-122.3889514,37.77973851
735,648,-122.4413877,37.76856459
2510,300060,-122.2519186,37.77332644
2773,300288,-122.264538,37.84329243
475,417,-122.4050998,37.77886167
572,503,-122.4901214,37.74522115
174,162,-122.4897347,37.7396263
2196,200867,-121.880004,37.34327642
2863,300375,-122.2374516,37.81305778
2081,200762,-121.87788,37.33998478
884,100136,-122.3404854,37.58539974
4309,400546,-122.3531813,37.95571772
576,507,-122.490514,37.75081328
704,624,-122.3734862,37.73249855
573,504,-122.4899876,37.74335782
570,501,-122.4903858,37.74894921
3568,301038,-122.2034366,37.78958159
571,502,-122.4902542,37.7470841
574,505,-122.4907759,37.75454608
175,163,-122.4898624,37.74148925
732,646,-122.4435688,37.74553084
575,506,-122.4906492,37.75267877
2865,300377,-122.2615963,37.83428335
70,66,-122.4391223,37.74613407
1696,200395,-121.8380892,37.38213653
3466,300938,-122.2696001,37.86185665
2945,300443,-122.2190288,37.81059294
305,278,-122.4737516,37.75849179
2988,300481,-122.2809889,37.82088987
2195,200866,-121.8738309,37.34164934
235,220,-122.469486,37.78609379
4152,400411,-122.3553358,37.94155887
2663,300192,-122.1912338,37.76460534
3119,300611,-122.2872902,37.88810259
2666,300195,-122.191065,37.75837393
1735,200433,-121.9784478,37.36488128
4310,400547,-122.3491258,37.95533128
410,364,-122.4391509,37.80226827
682,604,-122.4090062,37.76727929
268,247,-122.4877376,37.78591158
2459,300015,-122.2682081,37.7730308
3019,300514,-122.019939,37.58472571
255,237,-122.404935,37.71281994
141,132,-122.4500697,37.7303053
5313,800050,-122.580231,38.10898154
2829,300345,-122.163767,37.74831725
900,100150,-122.1479547,37.46293456
2943,300441,-122.2931059,37.81102839
4250,400498,-122.0279054,37.96219221
46,42,-122.4020223,37.73148023
3537,301009,-122.1254943,37.7069661
2789,300305,-122.1656947,37.7551822
1778,200475,-122.0000218,37.36805727
2627,300163,-122.2042486,37.79380231
199,185,-122.4233569,37.73052706
223,208,-122.4968886,37.74211737
564,495,-122.4776449,37.74764484
2900,300408,-122.0440093,37.56568048
182,170,-122.4827766,37.73278668
2828,300344,-122.2363421,37.8158279
177,165,-122.4803442,37.74004056
3637,301101,-122.1049505,37.66939282
2810,300326,-122.0434451,37.63001728
568,499,-122.4780266,37.75323425
73,68,-122.4374397,37.73630552
3281,300759,-122.2074507,37.80437397
854,100110,-122.455025,37.70459979
176,164,-122.4804733,37.74190407
1678,200378,-121.9818025,37.35719567
3468,300940,-122.2825244,37.85172228
565,496,-122.4805959,37.74377059
183,171,-122.4775826,37.73290374
1492,200229,-121.82963,37.33779428
229,214,-122.5033419,37.74651003
607,537,-122.5029472,37.74091762
3530,301002,-122.2371528,37.79949505
2121,200801,-121.8326063,37.28991904
3028,300523,-122.2624875,37.77594549
3235,300717,-122.2473622,37.86824585
3380,300854,-122.1691081,37.75815298
493,431,-122.4440643,37.79838438
